key_mlbam,name_first,name_last
699906,Carson,Winkler
519154,Luke,Prihoda
666503,Javier,Avedano
701632,Ben,Ford
473117,Luis,Jimenez
NA,Youhei,Kokubo
666196,Thomas,Jones
NA,Nathan,Coakley
821144,Yoandys,Veraza
593824,Edgar,Gonzalez
672859,Edward,Cuello
683227,Cody,Freeman
607902,Nick,DelGuidice
811244,Ed,Hall
608047,Jon,Hurst
806071,Jonny,Farmelo
NA,Nick,Palma
672797,Adderlin,Santana
NA,Gary,Schneider
NA,Ernesto,González
NA,Kyle,McComb
641796,Tim,Locastro
NA,Eric,Gatewood
681615,Johan,Liberato
NA,Onel,Vega
461885,Tristan,Johnson
NA,Naoki,Komatsu
462111,Alejandro,Zuaznábar
650341,Roni,Tapia
543703,Otto,Roberts
NA,Ransom,LaLonde
543183,Fernando,Frias
519211,Joseph,Rocchio
519455,Jordan,Zimmermann
465560,Travis,Rush
470257,Victor,Santiago
681170,Britt,McKay
805311,Nick,Sando
808136,Raymond,Sosa
821364,Jayron,Foster
NA,Kurt,Wertz
489737,Mark,Aranda
809797,Yeferson,Tales
607517,Jake,Ehret
814707,Cayden,Munster
676886,Jeremy,Beasley
445427,Joe,Lane
453206,Brant,Rustich
NA,Seung Joo,Park
663424,Daniel,Concepcion
673907,Alex,Jones
NA,Frankie,Sanchez
802512,Zak,Szabo
824274,Josh,Hankins
451626,Bobby,Deeb
NA,Chase,Uter
593985,Moises,Perez
684937,Hunter,McMahon
815182,Haniel,German
NA,Tavien,Gillette
NA,Jesse,van den Berg
694766,Wyatt,Hudepohl
809249,Camden,Chalfant
676057,Jake,Kuchmaner
NA,Sebastiaan,van der Horst
457851,Kurt,Piantek
663725,Cole,Daily
695670,Harry,Ford
444862,David,Marchbanks
NA,Po Chun,Chen
445084,Will,Hudson
689514,Bryce,Robison
674051,Ako,Thomas
NA,Tyler,Kaltreider
613317,Kyle,Bird
NA,Cole,Frederick
472500,Oleg,Korneev
666686,Cesar,Diaz
543441,Justin,Leith
NA,Jordan,Garr
NA,Christian,Scanlon
661533,Colby,Woodmansee
NA,Steve,Velasquez
502830,Aaron,Johnson
544515,Chia Chu,Chen
514905,Elys,Montano
NA,Austin,Requena
NA,Levi,Wright
NA,Seok Joo,Yoon
802551,Nick,Powers
NA,Trent,Youstin
683349,Calvin,Ziegler
460248,J. T.,Thomas
477082,Adam,Buschini
641733,Connor,Johnstone
NA,Melvin,Cotto
NA,Hugo,Brosius
679675,Michael,Sandborn
692227,Brad,Grenkoski
490997,Jon,Byrne
543721,Chad,Rose
NA,Brent,Villasenor
573210,Raoul,Torrez
800832,Jeremy,Fox
NA,Manuel,Marussich
NA,Rogelio,Maldonado
NA,Cole,Brady
NA,Wataru,Hiyane
676209,Shamir,Morales
692221,Sammy,Infante
NA,Tyler,Shannon
NA,Wyatt,Copeland
690100,Derek,Marshall
506648,Yoslán,Herrera
650367,Manuel,De Los Santos
822371,Rafael,Capistran
NA,Sebastian,Martinez
NA,William,Vasseur
682589,Antonio,Gonzalez
NA,Corey,Berry
687326,Ben,Rozenblum
460608,Matt,Blanton
702068,Cole,Gabrielson
NA,Bryant,Rhooms
452736,Jimmy,Scholzen
622378,Anthony,Basora
702693,Jaison,Chourio
452212,Damian,Ursin
664724,Reign,Letkeman
674913,Chad,Castillo
692574,Álbaro,Santana
673819,Shao-Pin,Ho
594905,Matt,Loosen
670386,John,Hayes
620440,Jairo,Beras
674016,Austin,Homan
455090,Jack,Egbert
815542,Clay,Basham
608680,Brandon,Love
686843,William,Matthiessen
NA,Andrew,Barnes
NA,Brendan,Colley
NA,David,Beam
602101,Oscar,Armenta
523270,Tomohisa,Nemoto
680941,Zack,Jones
463639,Angus,Roy
